mappedPoolId,mappedByUser,mappedByUserId,mappedDateText,mappedDateUnixSeconds,mappedLatitude,mappedLongitude,mappedConfidence,mappedSource,mappedSource2,mappedPhotoNumber,mappedLocationAccuracy,mappedShape,mappedComments,createdAt,updatedAt
KWN1,KNOWN,0,,-2209161600,44.41389,-72.025,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point,_rnk_num,,
KWN10,KNOWN,0,,-2209161600,43.59722,-72.54028,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN100,KNOWN,0,,-2209161600,42.9179357,-72.57103009,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN1000,KNOWN,0,,-2209161600,44.06660736,-72.32500442,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1001,KNOWN,0,,-2209161600,44.0667361,-72.32042321,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1002,KNOWN,0,,-2209161600,44.06396806,-72.31962928,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1003,KNOWN,0,,-2209161600,44.06431139,-72.31906065,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1004,KNOWN,0,,-2209161600,44.06589925,-72.32805141,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1005,KNOWN,0,,-2209161600,44.06861901,-72.32748278,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1006,KNOWN,0,,-2209161600,44.05898988,-72.33734795,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1007,KNOWN,0,,-2209161600,44.06522334,-72.31873878,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1008,KNOWN,0,,-2209161600,44.05417264,-72.29815551,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1009,KNOWN,0,,-2209161600,44.04013932,-72.27471837,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN101,KNOWN,0,,-2209161600,42.92666134,-72.54612026,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN1010,KNOWN,0,,-2209161600,44.04843271,-72.30256506,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1011,KNOWN,0,,-2209161600,44.04689312,-72.29978093,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1012,KNOWN,0,,-2209161600,44.04888332,-72.30100938,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1013,KNOWN,0,,-2209161600,44.03254867,-72.33548113,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1014,KNOWN,0,,-2209161600,44.03340161,-72.33237513,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1015,KNOWN,0,,-2209161600,44.03681874,-72.22997912,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1016,KNOWN,0,,-2209161600,44.03233409,-72.3399336,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1017,KNOWN,0,,-2209161600,44.03450131,-72.33171531,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1018,KNOWN,0,,-2209161600,44.03483391,-72.28200325,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1019,KNOWN,0,,-2209161600,44.03469443,-72.28130587,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN102,KNOWN,0,,-2209161600,42.92714203,-72.54585809,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN1020,KNOWN,0,,-2209161600,44.03839052,-72.20669755,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1021,KNOWN,0,,-2209161600,44.03066576,-72.28135952,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1022,KNOWN,0,,-2209161600,44.02863801,-72.28023299,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1023,KNOWN,0,,-2209161600,44.02850926,-72.28008815,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1024,KNOWN,0,,-2209161600,44.03032243,-72.32116886,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1025,KNOWN,0,,-2209161600,44.02764559,-72.25812086,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1026,KNOWN,0,,-2209161600,44.02735054,-72.25814768,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1027,KNOWN,0,,-2209161600,44.02679265,-72.25849637,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1028,KNOWN,0,,-2209161600,44.01834369,-72.36529657,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1029,KNOWN,0,,-2209161600,44.01749074,-72.36421295,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN103,KNOWN,0,,-2209161600,42.9366344,-72.54119462,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN1030,KNOWN,0,,-2209161600,44.01872993,-72.36453482,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1031,KNOWN,0,,-2209161600,44.0188694,-72.36540922,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1032,KNOWN,0,,-2209161600,44.01116207,-72.30867027,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1033,KNOWN,0,,-2209161600,44.01185811,-72.29275354,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1034,KNOWN,0,,-2209161600,44.00460541,-72.26666638,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1035,KNOWN,0,,-2209161600,44.00189102,-72.27938541,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1036,KNOWN,0,,-2209161600,44.00118828,-72.23784336,UNK,ochp_vp4sf20100315,OTHER, ,UNK,Point,Landowner Restricted: see original dataset,,
KWN1037,,0,,-2209161600,43.68309359,-73.36167098,MH,Shaw Mtn,OTHER,,UNK,Point,added by AW from Shaw mtn NNHP data,,
KWN1038,,0,,-2209161600,43.68169386,-73.36053773,MH,Shaw Mtn,OTHER,,UNK,Point,added by AW from Shaw mtn NNHP data,,
KWN1039,Jim H. Kellogg,0,6/17/2001,992736000,44.4125,-72.432778,MH,VTDEC Bivalva Inv.,OTHER,,UNK,Point,"imported from BASS bivalva data by AW on 050112 49631000V001,Sawyer Vernal Pool",,
KWN104,KNOWN,0,,-2209161600,42.93763156,-72.5404233,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN1040,Steven L. Fiske,0,6/25/2001,993427200,44.381111,-73.090278,MH,VTDEC Bivalva Inv.,OTHER,,UNK,Point,"imported from BASS bivalva data by AW on 050112 52090000V002,Ash VP",,
KWN1041,,0,,-2209161600,43.12732631,-72.62948283,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN1042,,0,,-2209161600,43.127773,-72.62965809,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN1043,,0,,-2209161600,43.12800649,-72.63018156,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN1044,,0,,-2209161600,43.13946926,-72.6173326,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN1045,,0,,-2209161600,43.13970341,-72.61727492,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN1046,,0,,-2209161600,43.1407893,-72.6166958,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN1047,,0,,-2209161600,43.14241318,-72.61007305,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN1048,,0,,-2209161600,43.14347228,-72.61507348,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN1049,,0,,-2209161600,43.12821899,-72.63044349,MH,VELCO WETLAND INVENTORY,OTHER,,UNK,Point,imported from VELCO wetland inventory data by AW on 050112,,
KWN105,KNOWN,0,,-2209161600,42.95845945,-72.53866318,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN1050,A.Toepfer,0,,-2209161600,43.12361,-72.54808,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1051,A.Toepfer,0,,-2209161600,43.12523,-72.54669,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1052,A.Toepfer,0,,-2209161600,43.12629,-72.54732,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1053,A.Toepfer,0,,-2209161600,43.14601,-72.55228,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1054,A.Toepfer,0,,-2209161600,43.14476,-72.59162,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1055,A.Toepfer,0,,-2209161600,43.14584,-72.59203,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1056,A.Toepfer,0,,-2209161600,43.12587,-72.61993,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1057,A.Toepfer,0,4/29/2009,1240963200,43.12336,-72.62293,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1058,A.Toepfer,0,4/29/2009,1240963200,43.12706,-72.62779,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1059,A.Toepfer,0,4/29/2009,1240963200,43.12737,-72.62705,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN106,KNOWN,0,,-2209161600,42.95870708,-72.5625963,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN1060,A.Toepfer,0,4/29/2009,1240963200,43.12377,-72.62193,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1061,A.Toepfer,0,3/26/2012,1332720000,43.081025,-72.609601,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1063,A.Toepfer,0,3/26/2012,1332720000,43.080601,-72.608795,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1064,A.Toepfer,0,3/26/2012,1332720000,43.070763,-72.60539,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1065,A.Toepfer,0,3/26/2012,1332720000,43.083232,-72.622067,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1066,A.Toepfer,0,3/26/2012,1332720000,43.073053,-72.606558,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1067,A.Toepfer,0,3/26/2012,1332720000,43.070185,-72.60695,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1068,A.Toepfer,0,3/26/2012,1332720000,43.063865,-72.607965,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1069,A.Toepfer,0,3/26/2012,1332720000,43.069026,-72.61563,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN107,KNOWN,0,,-2209161600,42.96678704,-72.56566392,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN1070,A.Toepfer,0,3/26/2012,1332720000,43.081051,-72.611245,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1071,A.Toepfer,0,4/25/2004,1082851200,43.10765,-72.5581,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1072,A.Toepfer,0,4/25/2004,1082851200,43.10697,-72.55883,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1073,A.Toepfer,0,4/25/2004,1082851200,43.11512,-72.55599,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1074,A.Toepfer,0,4/25/2004,1082851200,43.09167,-72.56539,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1075,A.Toepfer,0,4/25/2004,1082851200,43.09682,-72.56645,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1076,A.Toepfer,0,4/25/2004,1082851200,43.09072,-72.56748,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN1077,A.Toepfer,0,4/25/2004,1082851200,43.09009,-72.56821,MH,A.Toepfer,OTHER,,UNK,Point,"imported from A.Toepfer data provided to SDF by AW.  Pools located on ground, no datasheets",,
KWN108,KNOWN,0,,-2209161600,42.96532134,-72.56886162,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN109,KNOWN,0,,-2209161600,42.96613515,-72.56975281,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN11,KNOWN,0,,-2209161600,43.84417,-72.26278,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN110,KNOWN,0,,-2209161600,42.96553583,-72.57296722,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN111,KNOWN,0,,-2209161600,42.96131335,-72.5753953,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN112,KNOWN,0,,-2209161600,42.95842481,-72.57914137,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN113,KNOWN,0,,-2209161600,42.92433749,-72.55314001,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN114,KNOWN,0,,-2209161600,42.92189371,-72.55379855,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN115,KNOWN,0,,-2209161600,42.93168124,-72.58131514,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN116,KNOWN,0,,-2209161600,42.93371181,-72.60924439,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN117,KNOWN,0,,-2209161600,42.91893516,-72.57079584,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN118,KNOWN,0,,-2209161600,42.91317894,-72.56672439,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN119,KNOWN,0,,-2209161600,42.9127265,-72.5668988,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN12,KNOWN,0,,-2209161600,44.06889,-72.3275,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN120,KNOWN,0,,-2209161600,42.92579095,-72.54854626,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN121,KNOWN,0,,-2209161600,42.92536412,-72.54816125,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN122,KNOWN,0,,-2209161600,42.92517252,-72.54784585,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN123,KNOWN,0,,-2209161600,42.9243416,-72.54800827,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN124,KNOWN,0,,-2209161600,42.92332697,-72.54810531,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN125,KNOWN,0,,-2209161600,42.92280752,-72.54850712,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN126,KNOWN,0,,-2209161600,42.92233625,-72.54832195,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN127,KNOWN,0,,-2209161600,42.92212911,-72.54886531,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN128,KNOWN,0,,-2209161600,42.93392192,-72.55442099,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN129,KNOWN,0,,-2209161600,42.93539669,-72.55573659,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN13,KNOWN,0,,-2209161600,44.19222,-72.17556,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN130,KNOWN,0,,-2209161600,42.93640592,-72.58815866,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN131,KNOWN,0,,-2209161600,42.93435809,-72.59052609,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN132,KNOWN,0,,-2209161600,42.94449795,-72.54999007,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN133,KNOWN,0,,-2209161600,42.92726983,-72.57519647,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN134,KNOWN,0,,-2209161600,42.94008431,-72.54151485,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN135,KNOWN,0,,-2209161600,42.94274641,-72.54209298,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN136,KNOWN,0,,-2209161600,42.94477917,-72.54219416,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN137,KNOWN,0,,-2209161600,42.94580595,-72.54224829,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN138,KNOWN,0,,-2209161600,42.93995835,-72.53867851,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN139,KNOWN,0,,-2209161600,42.94504908,-72.56243246,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN14,KNOWN,0,,-2209161600,44.18139,-72.19167,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN140,KNOWN,0,,-2209161600,42.93550698,-72.59140825,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN141,KNOWN,0,,-2209161600,42.93591651,-72.59244209,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN142,KNOWN,0,,-2209161600,42.93614671,-72.5953001,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN143,KNOWN,0,,-2209161600,42.93658545,-72.59406275,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN144,KNOWN,0,,-2209161600,42.93604423,-72.59516032,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN145,KNOWN,0,,-2209161600,42.93712621,-72.59465424,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN146,KNOWN,0,,-2209161600,42.92662642,-72.5741257,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN147,KNOWN,0,,-2209161600,42.92536728,-72.57664656,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN148,KNOWN,0,,-2209161600,42.92729102,-72.58572124,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN149,KNOWN,0,,-2209161600,42.92736848,-72.58605266,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN15,KNOWN,0,,-2209161600,44.49611,-72.16056,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN150,KNOWN,0,,-2209161600,42.92454196,-72.57710047,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN151,KNOWN,0,,-2209161600,42.92848207,-72.58020018,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN152,KNOWN,0,,-2209161600,42.92032088,-72.58290026,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN153,KNOWN,0,,-2209161600,42.91584278,-72.58467497,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN154,KNOWN,0,,-2209161600,42.92752538,-72.56038407,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN155,KNOWN,0,,-2209161600,42.92833776,-72.55999882,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN156,KNOWN,0,,-2209161600,42.92564094,-72.56012488,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN157,KNOWN,0,,-2209161600,42.95861263,-72.53550059,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN158,KNOWN,0,,-2209161600,42.91000048,-72.58410698,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN159,KNOWN,0,,-2209161600,42.90055429,-72.56613847,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN16,KNOWN,0,,-2209161600,44.56917,-71.81778,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN160,KNOWN,0,,-2209161600,42.9107591,-72.58471056,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN161,KNOWN,0,,-2209161600,42.91147284,-72.58525129,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN162,KNOWN,0,,-2209161600,42.9115319,-72.58585409,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN163,KNOWN,0,,-2209161600,42.91148673,-72.58436071,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN164,KNOWN,0,,-2209161600,42.94155294,-72.60951834,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN165,KNOWN,0,,-2209161600,42.9423303,-72.60913008,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN166,KNOWN,0,,-2209161600,42.9481437,-72.60622672,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN167,KNOWN,0,,-2209161600,42.9434547,-72.55243283,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN168,KNOWN,0,,-2209161600,42.90679693,-72.55685851,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
